#{"t_start": 1649571600.107465, "env_id": "SimpleDriving-v0"}
r,l,t
-15.945883,30,23.518606
-19.468893,40,23.544962
-11.10561,37,23.56985
-14.68143,36,23.594372
-9.293348,34,23.617246
-11.72901,31,23.639114
45.354056,30,23.661393
-8.303294,28,23.681378
45.068186,32,24.275333
-11.520694,26,24.293917
43.143768,31,24.314681
-9.886619,28,24.334203
-7.751773,29,24.354171
-12.713662,33,24.377681
-9.279814,26,24.401577
-12.06976,28,24.424307
-5.938869,27,24.444523
-13.267728,29,24.464338
-18.864516,45,24.492913
-10.945509,25,24.511784
44.660936,28,24.532025
-7.200084,31,24.553666
41.771726,37,24.579242
-8.175769,30,24.598908
-13.866245,32,24.618677
-13.716677,30,24.637969
-9.104383,32,24.657889
-12.003454,33,24.678083
45.854251,24,24.694839
-18.40657,35,24.71632
-13.525202,33,24.736786
-14.010521,25,24.753698
41.669691,38,24.776429
-5.681143,24,24.792828
-8.32757,29,24.812649
-10.038522,40,24.836823
-16.52053,34,24.858303
-12.696807,37,24.882848
-16.226824,38,24.907592
-17.25815,33,24.928209
-9.109752,30,24.94798
-6.36786,27,24.966603
45.330222,26,24.98611
-7.248573,24,25.00658
-14.677174,32,25.030227
-8.234071,25,25.048151
-13.856279,30,25.068391
44.315859,30,25.089385
-12.518008,33,25.111837
-18.585692,43,25.138133
-13.781524,22,25.15492
-17.448678,30,25.174552
-16.304372,33,25.195673
44.868574,31,25.216024
-10.735529,29,25.235277
45.59081,27,25.257226
-13.946903,35,25.27849
-12.100737,37,25.30068
-11.334027,30,25.320026
-6.146809,26,25.337418
43.150813,30,25.356627
-18.967824,35,25.379608
-11.112593,29,25.401069
44.812027,27,25.419431
-12.473543,37,25.441696
46.556066,25,25.459836
-9.788283,31,25.480767
-14.871071,27,25.499817
-8.838563,24,25.517209
-6.058216,25,25.535316
-8.828151,30,25.555802
44.539664,29,25.575492
-18.215428,37,25.599052
-11.894982,34,25.621234
-15.245793,33,25.642977
-9.022002,31,26.242034
44.97516,26,26.260682
-19.396558,46,26.28914
-11.924979,27,26.308252
44.762412,36,26.332178
-17.022205,31,26.35317
44.515341,29,26.374339
-16.893487,43,26.402467
-15.352956,31,26.422897
-14.838933,28,26.442407
-15.24895,35,26.464975
-13.673036,40,26.492303
-10.351339,24,26.509311
-16.302473,33,26.531065
-6.965212,25,26.548816
43.259471,41,26.573716
-14.631248,29,26.593162
-4.915674,23,26.609622
-6.438538,27,26.62777
-14.85781,36,26.650394
-16.607908,30,26.670481
-16.898333,34,26.691715
45.212581,31,26.711815
-11.351413,27,26.730263
-13.749328,32,26.752743
-7.061794,30,26.777187
-17.435018,28,26.799053
45.258412,30,26.820133
-7.825567,24,26.837379
-18.346596,36,26.85991
-7.305196,26,26.879362
44.679058,28,26.899338
-12.014235,32,26.921758
-18.494197,43,26.949049
-17.221384,40,26.974466
-18.647383,35,26.99785
42.030788,33,27.019584
-13.581496,33,27.041702
-17.36571,32,27.062838
44.061875,33,27.083957
-19.101354,34,27.105453
-16.852693,40,27.129594
-16.144743,33,27.150598
-8.991238,27,27.172198
43.122543,32,27.191896
44.68155,28,27.210488
-17.370441,30,27.230328
-12.911759,31,27.251447
45.038077,25,27.269967
-6.275598,25,27.287448
43.922502,31,27.308385
-10.090551,31,27.331246
-8.284622,30,27.353495
44.370845,30,27.375382
-13.744262,31,27.397717
-6.052716,23,27.414706
-7.244607,29,27.434334
45.516033,26,27.453016
-15.234433,31,27.474005
43.796482,30,27.49487
-18.197777,40,27.520237
-6.696973,26,27.538808
45.27997,29,27.558861
-9.903779,25,27.576596
44.64153,27,27.595519
-15.696565,30,27.615746
-17.525875,39,28.216776
44.976649,28,28.236572
-8.118223,27,28.255738
-15.238231,31,28.276364
-7.740958,36,28.30067
-13.902069,29,28.320185
-16.931613,33,28.341392
-13.911998,26,28.359778
-17.830083,38,28.384392
-10.314796,34,28.407727
45.518401,25,28.428508
-13.50519,37,28.452125
-9.531495,31,28.47293
-17.340943,34,28.495422
-6.898038,28,28.515033
