#{"t_start": 1649568369.999021, "env_id": "SimpleDriving-v0"}
r,l,t
-6.898849,1,5.337911
-5.278844,1,5.343814
-3.771867,1,5.349688
-3.423615,1,5.355645
-5.916832,1,5.361491
-4.232954,1,5.367343
-4.783404,1,5.373244
-4.120171,1,5.379098
-4.842504,1,5.384944
-3.662844,1,5.39085
-3.302309,1,5.396692
-5.791472,1,5.402536
-3.922111,1,5.40848
-5.919866,1,5.414312
-5.123767,1,5.420146
-3.728681,1,5.42607
-3.224187,1,5.433265
-5.027156,1,5.439666
-5.115778,1,5.446753
-3.890671,1,5.454191
-5.382325,1,5.461576
-4.797689,1,5.469026
-4.799695,1,5.476628
-4.422578,1,5.484094
-4.453053,1,5.491527
-3.617385,1,5.498814
-3.328738,1,5.505977
-5.796366,1,5.513246
-6.346763,1,5.520484
-5.381131,1,5.527884
-3.067087,1,5.535265
-4.55099,1,5.542577
-4.430594,1,5.550131
-4.070697,1,5.557241
-3.394021,1,5.564393
-6.973291,1,5.571733
-6.088561,1,5.579044
-5.82159,1,5.586385
-3.074324,1,5.593803
-6.221608,1,5.601089
-3.431694,1,5.608439
-3.913426,1,5.615955
-5.69895,1,5.62302
-3.242924,1,5.630236
-4.181024,1,5.637593
-6.667331,1,5.644936
-5.270695,1,5.652234
-3.223793,1,5.659461
-5.379031,1,5.666663
-3.218141,1,5.673979
-3.825457,1,5.681227
-3.554098,1,5.688645
-4.110094,1,5.696114
-3.643281,1,5.703517
-3.144757,1,5.710919
-4.770972,1,5.718345
-5.821176,1,5.725742
-4.93155,1,5.73309
-6.80544,1,5.740756
-3.308903,1,5.748352
-3.589042,1,5.756085
-3.081526,1,5.763864
-5.399498,1,5.771867
-4.39049,1,5.779819
-3.438585,1,5.787865
-5.246786,1,5.796137
-6.647961,1,5.804294
-5.231052,1,5.812182
-5.742846,1,5.820241
-6.800305,1,5.82833
-4.602789,1,5.836456
-4.300637,1,5.844919
-3.225971,1,5.853338
-3.984063,1,5.861472
-5.164707,1,5.869658
-6.627143,1,5.877593
-4.350541,1,5.885817
-3.835995,1,5.894185
-3.249865,1,5.902315
-6.383118,1,5.910694
-3.406423,1,5.918883
-3.356699,1,5.927234
-3.990135,1,5.935222
-5.854725,1,5.943546
-3.507643,1,5.952099
-5.46103,1,5.960264
-6.585401,1,5.968417
-4.071616,1,5.976541
-5.316217,1,5.984969
-4.712672,1,5.993249
-6.029074,1,6.001402
-6.673392,1,6.00951
-3.450331,1,6.017778
-6.249802,1,6.025891
-5.714563,1,6.033811
-6.876496,1,6.042055
-3.121549,1,6.050149
-6.305164,1,6.058116
-4.798748,1,6.065821
-5.990029,1,6.073454
-3.992599,1,6.081168
-5.593652,1,6.088922
-5.671444,1,6.09661
-3.037698,1,6.104182
-4.688519,1,6.111758
-6.572635,1,6.119216
-6.566813,1,6.126686
-3.492309,1,6.134534
-6.090546,1,6.142012
-4.031605,1,6.149304
-4.873648,1,6.156854
-5.964555,1,6.164248
-5.596056,1,6.171606
-3.536281,1,6.178827
-5.142159,1,6.186041
-6.094476,1,6.193259
-3.840627,1,6.200366
-3.447508,1,6.206871
-4.542667,1,6.213253
-4.585873,1,6.21963
-5.79511,1,6.226035
-3.549173,1,6.232351
-3.877076,1,6.238692
-3.402923,1,6.245008
-4.689564,1,6.251645
-3.244413,1,6.258883
-4.685507,1,6.266148
-6.419419,1,6.27338
-6.705144,1,6.280564
-6.834998,1,6.287645
-6.730957,1,6.294493
-4.913898,1,6.30079
-4.905574,1,6.307012
-5.797283,1,6.313297
-5.1437,1,6.319535
-4.528423,1,6.325798
-3.01887,1,6.332022
-3.262871,1,6.338205
-5.035437,1,6.344322
-3.218674,1,6.350431
-3.207697,1,6.356537
-4.620747,1,6.362646
-3.283023,1,6.369534
-6.230856,1,6.376182
-3.626684,1,6.383433
-4.859171,1,6.390693
-3.14811,1,6.397972
-5.3727,1,6.405564
-3.455138,1,6.412773
-6.364658,1,6.419955
-5.291268,1,6.427249
-4.118213,1,6.434545
-6.722641,1,6.441922
-5.046334,1,6.449413
-3.657988,1,6.456777
-6.843421,1,6.464148
-6.977399,1,6.471885
-5.539513,1,6.479672
-6.16121,1,6.487741
-3.097788,1,6.495799
-3.754406,1,6.503872
-6.475702,1,6.511489
-3.550181,1,6.519589
-3.566151,1,6.527951
-3.922242,1,6.536173
-5.273491,1,6.544401
-3.438587,1,6.552356
-4.586937,1,6.560539
-6.847022,1,6.568643
-6.311185,1,6.576716
-3.157318,1,6.585032
-6.309498,1,6.593123
-6.992506,1,6.601176
-4.335403,1,6.609377
-5.277997,1,6.617519
-4.190773,1,6.62565
-3.989163,1,6.633814
-5.045732,1,6.642003
-3.073715,1,6.650037
-4.809693,1,6.658042
-4.21983,1,6.665736
-4.157944,1,6.673381
-4.92836,1,6.681007
-5.018857,1,6.688884
-5.905629,1,6.696341
-6.112646,1,6.703371
-3.270477,1,6.710475
-3.004263,1,6.717612
-4.76378,1,6.724742
-5.012371,1,6.731961
-6.553398,1,6.739239
-3.770955,1,6.746494
-6.068521,1,6.753716
-5.402288,1,6.760875
-4.743632,1,6.768009
-5.703572,1,6.775112
-3.397263,1,6.782185
-4.793633,1,6.789236
-4.962143,1,6.796438
-5.641977,1,6.803672
-3.759429,1,6.810908
-4.518087,1,6.818147
-4.825142,1,6.825377
-4.552874,1,6.832583
-5.591118,1,6.839723
-6.04109,1,6.846823
-3.249202,1,6.854089
-6.757998,1,6.861307
-3.274325,1,6.868548
-4.37444,1,6.875811
-4.30485,1,6.883057
-4.790066,1,6.890315
-5.654976,1,6.897917
-3.013059,1,6.905532
-5.520651,1,6.913076
-4.010798,1,6.920738
-5.743196,1,6.928218
-4.793652,1,6.935844
-4.466754,1,6.943521
-4.999548,1,6.951309
-5.34366,1,6.958935
-6.875881,1,6.966659
-5.592674,1,6.97449
-4.704331,1,6.982314
-5.949787,1,6.989948
-5.103849,1,6.997649
-3.720312,1,7.005325
-4.177958,1,7.013074
-6.349332,1,7.020788
-6.32687,1,7.028537
-5.81205,1,7.03617
-3.081476,1,7.043776
-5.696774,1,7.051481
-6.29639,1,7.059076
-4.565966,1,7.06681
-5.373702,1,7.074639
-5.777202,1,7.082382
-5.266783,1,7.0904
-6.164382,1,7.098012
-6.826711,1,7.105725
-5.324949,1,7.113561
-3.255046,1,7.121325
-5.656455,1,7.129029
-4.718186,1,7.136871
-4.01503,1,7.144618
-3.866976,1,7.152636
-6.035649,1,7.160083
-3.078063,1,7.168146
-4.25225,1,7.175859
-6.383308,1,7.183567
-5.313005,1,7.190938
-4.328291,1,7.198646
-3.165295,1,7.206287
-5.510816,1,7.21429
-5.061166,1,7.222071
-3.253804,1,7.22987
-3.60728,1,7.237536
-3.208879,1,7.245151
-4.912095,1,7.252758
-3.029896,1,7.260234
-5.952152,1,7.267816
-6.3377,1,7.275337
-3.317649,1,7.282781
-5.147035,1,7.290416
-4.516433,1,7.298021
-3.940945,1,7.305652
-4.596026,1,7.313011
-5.778749,1,7.320483
-4.619734,1,7.32781
-5.800269,1,7.335104
-6.222065,1,7.342374
-5.713236,1,7.349729
-6.73391,1,7.356969
-6.885146,1,7.364171
-6.076974,1,7.371354
-3.230851,1,7.378661
-6.142333,1,7.386106
-6.281499,1,7.393804
-6.424298,1,7.401298
-5.617855,1,7.408927
-6.163732,1,7.416747
-3.714197,1,7.424486
-3.661672,1,7.432141
-6.92878,1,7.439744
-3.689259,1,7.44741
-6.482538,1,7.455081
-3.604586,1,7.46284
-3.923182,1,7.470382
-4.629476,1,7.477867
-4.815194,1,7.485334
-4.74687,1,7.492668
-3.47863,1,7.500039
-6.943095,1,7.507371
-6.64112,1,7.514612
-5.800268,1,7.521812
-6.191541,1,7.529036
-3.775125,1,7.536275
-3.125005,1,7.543528
-6.690093,1,7.55081
-3.769509,1,7.558089
-4.796769,1,7.565362
-4.563709,1,7.572648
-4.90113,1,7.579924
-5.016698,1,7.587177
-4.673353,1,7.594396
-6.536789,1,7.601592
-6.402417,1,7.608622
-3.500101,1,7.615124
-5.198973,1,7.621514
-4.578253,1,7.627777
-6.881807,1,7.633667
-6.715875,1,7.664153
-4.131948,1,7.675406
-6.88882,1,7.683126
-5.95891,1,7.690725
-3.438023,1,7.698123
-3.532737,1,7.705499
-3.458315,1,7.71277
-3.787944,1,7.719969
-4.065724,1,7.727166
-5.910615,1,7.734549
-6.331134,1,7.741847
-6.605446,1,7.749089
-4.019051,1,7.756567
-6.437018,1,7.766731
-5.984205,1,7.773836
-4.137187,1,7.780742
-5.019686,1,7.787299
-3.67873,1,7.793492
-4.723331,1,7.799663
-5.348911,1,7.805832
-3.267478,1,7.812047
-3.118637,1,7.818375
-5.694496,1,7.82467
-6.545169,1,7.830644
-4.071212,1,7.836523
-5.064233,1,7.842506
-6.255862,1,7.848379
-6.665482,1,7.854352
-4.717297,1,7.860235
-6.388117,1,7.866104
-3.882867,1,7.871995
-6.376945,1,7.877862
-6.944689,1,7.883732
-3.158376,1,7.889614
-4.988324,1,7.895551
-6.92801,1,7.901418
-3.031717,1,7.907313
-6.979075,1,7.913181
-6.857421,1,7.919352
-3.245844,1,7.925269
-4.548956,1,7.931051
-3.550684,1,7.937296
-3.820948,1,7.943428
-4.479781,1,7.949494
-4.102636,1,7.955929
-4.383115,1,7.962601
-6.30607,1,7.972807
-4.405632,1,7.980097
-3.723163,1,7.987541
-4.308417,1,7.994824
-3.016992,1,8.002054
-3.316374,1,8.009358
-4.117658,1,8.016997
-5.51548,1,8.027348
-3.601383,1,8.033977
-4.499549,1,8.040296
-5.212882,1,8.046593
-6.221484,1,8.052879
-6.57779,1,8.05911
-5.441575,1,8.0654
-5.423551,1,8.071689
