#{"t_start": 1649571591.962805, "env_id": "SimpleDriving-v0"}
r,l,t
-16.3933,43,33.38605
-16.63982,42,33.410264
-20.481643,48,33.436694
33.937792,42,33.460569
-24.349147,49,33.487652
-17.309149,39,33.509905
-15.92473,41,33.536749
36.837517,39,33.560255
-22.481689,50,33.588129
-25.961508,55,33.619054
35.000051,42,34.222447
36.090243,43,34.247963
-19.798549,50,34.27597
-22.751375,57,34.313602
37.49285,39,34.338698
31.396397,55,34.371826
35.389361,38,34.395032
36.155294,41,34.419715
-15.185733,33,34.441057
33.53484,48,34.469509
-17.730903,50,34.498267
38.694312,31,34.518976
32.75107,47,34.546826
36.060901,41,34.571597
33.798609,48,34.59962
-18.048553,45,34.625663
37.817903,35,34.647675
-21.899318,54,34.678633
-18.489345,45,34.704807
33.958528,44,34.730074
39.754698,29,34.7489
37.074739,38,34.771605
-22.008182,59,34.804675
35.55856,44,34.83012
38.576947,31,34.849597
-12.725742,30,34.868676
-17.829719,45,34.899603
39.874856,29,34.921178
-15.684709,33,34.944712
-16.61303,42,34.970193
-14.758106,36,34.991741
-18.942648,50,35.021304
-17.316464,41,35.046925
37.82109,36,35.069532
-25.477251,64,35.105374
37.041404,34,35.127176
-18.684391,49,35.156137
-12.48042,32,35.176991
37.536897,34,35.198542
33.949262,45,35.224164
-18.928048,50,35.252501
-21.306244,53,35.282321
38.298809,33,35.302733
36.241,42,35.327542
34.796708,42,35.351803
-22.577235,58,35.382976
-22.022976,52,35.413759
-18.913869,49,36.023494
-20.771856,55,36.056092
-21.568979,53,36.095281
-19.282263,48,36.124082
36.203301,39,36.147956
-19.889782,53,36.177822
34.247236,48,36.205331
36.111735,40,36.228945
38.829359,33,36.249787
36.551063,39,36.272713
-14.942232,40,36.296542
39.435334,30,36.315685
35.989799,39,36.338847
-24.481229,62,36.372993
38.635533,33,36.393267
32.774723,53,36.422583
34.058277,41,36.4471
36.945826,36,36.46882
-18.571781,49,36.496801
27.883842,63,36.53235
-15.210514,33,36.552874
34.03199,46,36.579659
-22.435579,62,36.613344
32.35956,52,36.643514
38.08428,33,36.672448
39.292945,32,36.696481
38.48212,32,36.718065
-17.033493,41,36.744354
-19.791405,53,36.775377
-16.991033,44,36.801992
35.964759,39,36.825611
-15.933269,45,36.852852
37.740907,35,36.874967
-20.71806,54,36.905939
34.009009,46,36.933502
-23.237376,59,36.96779
36.250574,38,36.991647
35.624711,42,37.017595
-22.908751,60,37.052597
39.334939,30,37.071975
-19.273033,49,37.100789
-21.348288,56,37.132328
35.070924,44,37.157574
-18.389934,45,37.183858
-18.967098,47,37.211419
37.904722,34,37.233054
38.268297,32,37.899453
32.359205,47,37.935114
27.903181,61,37.973074
39.274545,32,37.994585
-21.565976,65,38.031693
37.032469,37,38.055975
34.144701,41,38.080817
-18.375621,47,38.109349
30.375373,56,38.141878
37.336431,36,38.164552
34.975786,40,38.189156
-21.405528,57,38.221317
32.063012,53,38.251554
39.428241,30,38.271092
38.520372,34,38.295703
35.085048,38,38.319598
-12.195377,31,38.340008
-23.741934,63,38.375448
36.17789,37,38.399428
36.487115,42,38.42569
-19.851177,53,38.457059
-16.61105,43,38.483549
33.272349,44,38.510174
36.271925,39,38.536848
38.785931,32,38.567461
34.480623,45,38.599877
-19.28109,46,38.627555
38.872572,31,38.648344
-26.609187,73,38.68877
34.983253,44,38.714557
29.910699,55,38.744747
30.3136,60,38.777719
30.287427,56,38.809581
39.156952,30,38.83118
30.606938,60,38.869669
38.353926,31,38.890773
31.057768,55,38.923355
39.630564,29,38.943593
-21.864379,59,38.977954
38.706422,31,38.998139
33.34621,47,39.027066
34.731119,45,39.05524
-20.227078,53,39.085941
32.562461,50,39.114934
-12.466552,31,39.135552
-11.806793,31,39.156906
32.67473,53,39.891212
33.7797,47,39.931811
-21.424604,60,39.977876
37.461461,37,40.004468
36.838523,38,40.034502
38.150874,35,40.061552
37.276327,35,40.087497
35.295141,41,40.116322
29.0334,64,40.154048
-22.515587,61,40.190244
32.663347,50,40.220799
30.313364,60,40.258039
30.850614,60,40.294731
38.884341,34,40.318207
37.769451,34,40.341441
38.563742,32,40.363559
32.58325,49,40.39434
35.514521,38,40.418962
34.274042,44,40.448872
34.251266,46,40.477046
31.572177,50,40.506338
37.427466,35,40.529252
34.744435,43,40.563383
38.989588,30,40.584208
34.048018,47,40.612254
-14.662749,35,40.634761
39.478004,30,40.654308
30.011464,53,40.684983
33.201757,48,40.712346
36.030627,41,40.735996
31.406517,57,40.767199
39.405695,30,40.786441
34.459488,45,40.81182
29.543143,61,40.844651
-18.164538,46,40.870755
35.657799,44,40.896397
29.550906,56,40.92805
